Vowel,t_ms,strF0,sF0,pF0,shrF0
B,1,178.489,0,0,0
B,2,177.382,0,0,0
B,3,164.979,0,0,0
B,4,149.185,0,0,0
B,5,133.39,0,0,0
B,6,117.596,0,0,0
B,7,101.751,0,0,0
B,8,86.205,0,0,0
B,9,71.398,0,0,0
B,10,104.838,0,0,0
B,11,148.658,0,0,0
B,12,168.662,0,0,0
B,13,189.288,0,0,0
B,14,209.99,0,0,0
B,15,250.263,0,0,0
B,16,250.306,0,0,0
B,17,250.396,0,0,0
B,18,250.518,0,0,0
B,19,224.795,0,0,0
B,20,188.417,0,0,251.837
B,21,187.486,0,0,278.865
B,22,188.803,0,0,278.865
B,23,187.155,0,0,211.451
B,24,158.137,0,0,216.838
B,25,175.667,0,0,275.379
B,26,192.893,0,0,214.128
B,27,231.56,0,0,211.451
B,28,230.676,0,0,230.914
B,29,209.048,0,0,230.914
B,30,187.101,0,0,230.914
B,31,165.68,0,0,230.914
B,32,147.115,0,0,230.914
B,33,155.96,0,0,230.914
B,34,159.13,0,0,230.914
B,35,162.744,0,0,233.837
B,36,144.204,0,0,233.837
B,37,143.094,0,0,233.837
B,38,142.593,0,0,233.837
B,39,149.616,0,0,233.837
B,40,156.703,0,0,233.837
B,41,156.212,0,0,233.837
B,42,136.114,0,0,233.837
B,43,115.37,0,0,233.837
B,44,94.439,0,0,236.797
B,45,74.19,0,0,233.837
B,46,55.148,0,0,239.794
B,47,73.254,0,0,120.055
B,48,83.893,0,0,120.055
B,49,97.725,0,0,222.363
B,50,117.954,0,0,225.177
B,51,138.09,0,0,245.904
B,52,160.362,0,0,245.904
B,53,182.452,0,0,249.016
B,54,204.245,0,0,249.016
B,55,225.623,0,0,252.168
B,56,227.785,0,0,249.016
B,57,212.309,0,0,236.797
B,58,193.754,0,0,233.837
B,59,176.664,0,0,233.837
B,60,159.767,0,0,233.837
B,61,140.749,0,0,233.837
B,62,121.814,0,0,233.837
B,63,103.072,0,0,236.797
B,64,84.649,0,0,236.797
B,65,67.239,0,0,236.797
B,66,67.41,0,0,239.794
B,67,66.097,0,0,107.205
B,68,65.213,0,0,107.205
B,69,64.149,0,0,107.205
B,70,81.045,0,0,107.205
B,71,97.789,0,0,105.865
B,72,114.772,0,0,105.865
B,73,113.953,0,0,105.865
B,74,113.244,0,0,242.83
B,75,112.531,0,0,186.458
B,76,113.135,0,0,186.458
B,77,113.069,0,0,228.028
B,78,125.927,0,0,228.028
B,79,121.015,0,0,228.028
B,80,117.265,0,0,228.028
B,81,115.17,0,0,228.028
B,82,132.348,0,0,228.028
B,83,149.242,0,0,228.028
B,84,165.551,0,0,228.028
B,85,181.373,0,0,222.363
B,86,197.248,0,0,219.583
B,87,201.243,0,0,211.451
B,88,205.522,0,0,211.451
B,89,208.116,0,0,211.451
B,90,208.515,0,0,211.451
B,91,190.381,0,0,230.914
B,92,172.459,0,0,230.914
B,93,155.083,0,0,230.914
B,94,138.168,0,0,230.914
B,95,141.032,0,0,230.914
B,96,144.174,0,0,233.837
B,97,146.628,0,0,233.837
B,98,148.842,0,0,233.837
B,99,146.987,0,0,198.562
B,100,161.086,0,0,198.562
B,101,175.026,0,0,198.562
B,102,180.793,0,0,198.562
B,103,195.04,0,0,198.562
B,104,193.331,0,0,201.075
B,105,190.705,0,0,201.075
B,106,188.299,0,0,201.075
B,107,186.904,0,0,201.075
B,108,189.184,0,0,211.451
B,109,190.163,0,0,214.128
B,110,190.199,0,0,219.583
B,111,198.493,0,0,219.583
B,112,198.566,0,0,219.583
B,113,195.15,0,0,219.583
B,114,191.77,0,0,184.127
B,115,190.112,0,0,184.127
B,116,190.862,0,0,177.309
B,117,193.299,0,0,177.309
B,118,198.335,0,0,177.309
B,119,202.565,0,0,203.62
B,120,203.277,0,0,203.62
B,121,207.694,0,0,203.62
B,122,191.89,0,0,216.838
B,123,192.947,0,0,216.838
B,124,193.514,0,0,228.028
B,125,192.855,0,0,228.028
B,126,191.746,0,0,219.583
B,127,190.246,0,0,219.583
B,128,190.482,0,0,219.583
B,129,194.262,0,0,219.583
B,130,194.129,0,0,214.128
B,131,213.202,0,0,0
B,132,213.599,0,0,0
B,133,195.124,0,0,0
B,134,175.471,0,0,0
B,135,155.38,0,0,0
B,136,135.586,0,0,0
B,137,116.024,0,0,0
B,138,96.376,0,0,0
B,139,76.689,0,0,0
B,140,57.617,0,0,0
